pid,timestamp,face_id,version,order_presented,trust_rating,masc_choice,fem_choice,emotion_rating,trust_q2,trust_q3,pers_q1,pers_q2,pers_q3,pers_q4,pers_q5,prolific_pid
200,2025-08-26T11:26:10.647134,1 (163),left,0,9,neither,neither,9,,,,,,,,
200,2025-08-26T11:26:10.647134,1 (163),right,0,1,neither,neither,1,,,,,,,,
200,2025-08-26T11:26:18.789374,1 (163),full,1,6,right,left,4,,,,,,,,
200,2025-08-26T11:26:22.410589,CFD-AM-230-150-N,full,2,6,right,left,4,,,,,,,,
200,2025-08-28T06:24:01.941197,CFD-AM-230-150-N,left,2,4,right,left,8,,,,,,,,
200,2025-08-28T06:24:01.941197,CFD-AM-230-150-N,right,2,3,right,left,2,,,,,,,,
200,2025-08-28T06:24:08.586594,CFD-AM-230-150-N,full,3,4,right,left,2,,,,,,,,
200,2025-08-28T06:24:20.166224,1 (205),left,4,1,right,left,6,,,,,,,,
200,2025-08-28T06:24:20.166224,1 (205),right,4,4,right,left,3,,,,,,,,
200,2025-08-28T06:24:27.755748,1 (205),full,5,5,right,left,4,,,,,,,,
200,2025-08-28T06:24:38.413956,Face ID (16),left,6,5,left,right,5,,,,,,,,
200,2025-08-28T06:24:38.413956,Face ID (16),right,6,5,left,right,4,,,,,,,,
200,2025-08-28T06:24:59.620629,Face ID (16),full,7,3,right,left,1,,,,,,,,
200,2025-08-28T06:27:20.058528,1 (171),full,8,3,right,left,1,,,,,,,,
200,2025-08-28T06:27:25.061096,1 (171),full,9,3,right,left,1,,,,,,,,
200,2025-09-07T04:33:54.468243,Face ID (25),left,10,5,right,left,8,,,,,,,,
200,2025-09-07T04:33:54.468243,Face ID (25),right,10,4,right,left,1,,,,,,,,
200,2025-09-07T04:34:03.301614,Face ID (25),full,11,6,right,left,2,,,,,,,,
200,2025-09-07T04:34:17.133740,Face ID (72),left,12,3,right,left,4,,,,,,,,
200,2025-09-07T04:34:17.133740,Face ID (72),right,12,4,right,left,2,,,,,,,,
200,2025-09-07T04:34:25.801046,Face ID (72),full,13,7,right,left,1,,,,,,,,
200,2025-09-07T05:27:39.891116,1 (168),full,14,7,right,left,1,,,,,,,,
