pid,timestamp,face_id,version,order_presented,trust_rating,masc_choice,fem_choice,emotion_rating,trust_q2,trust_q3,pers_q1,pers_q2,pers_q3,pers_q4,pers_q5,prolific_pid
228,2025-09-03T21:04:32.221640,1 (197),left,0,4,right,neither,3,1,,,6,1,,,TEST_228
228,2025-09-03T21:25:08.221640,1 (197),right,1,4,right,right,4,,2,,4,7,,,TEST_228
228,2025-09-03T20:51:55.221640,1 (197),full,2,5,left,neither,4,2,4,,,,3,6,TEST_228
228,2025-09-03T21:44:05.221640,2 (132),left,0,1,right,left,2,,,,,4,,,TEST_228
228,2025-09-03T20:48:14.221640,2 (132),right,1,4,neither,right,2,5,,,,3,,,TEST_228
228,2025-09-03T21:24:38.221640,2 (132),full,2,6,right,right,3,,7,,4,,,,TEST_228
228,2025-09-03T21:42:54.221640,3 (135),left,0,6,neither,left,5,,3,1,3,,,3,TEST_228
228,2025-09-03T21:37:53.221640,3 (135),right,1,6,neither,neither,5,,,4,,2,2,4,TEST_228
228,2025-09-03T21:03:32.221640,3 (135),full,2,3,right,neither,7,,,,1,,,3,TEST_228
228,2025-09-03T21:22:21.221640,4 (151),left,0,7,left,left,5,7,2,1,,2,7,4,TEST_228
228,2025-09-03T21:25:33.221640,4 (151),right,1,4,right,left,3,,2,7,4,7,4,1,TEST_228
228,2025-09-03T20:55:28.221640,4 (151),full,2,5,neither,left,2,5,,2,,6,5,,TEST_228
228,2025-09-03T21:40:55.221640,5 (105),left,0,6,right,left,5,1,,,4,7,4,,TEST_228
228,2025-09-03T21:31:53.221640,5 (105),right,1,3,neither,right,7,,,,6,2,,5,TEST_228
228,2025-09-03T21:47:22.221640,5 (105),full,2,3,left,neither,2,2,1,,4,,7,1,TEST_228
228,2025-09-03T21:46:31.221640,6 (175),left,0,7,right,left,2,1,5,,,,1,6,TEST_228
228,2025-09-03T21:48:00.221640,6 (175),right,1,7,left,neither,3,,3,,2,6,6,,TEST_228
228,2025-09-03T21:32:39.221640,6 (175),full,2,2,right,left,3,2,,3,5,2,7,2,TEST_228
228,2025-09-03T21:32:40.221640,7 (148),left,0,1,left,neither,4,5,,6,,,1,6,TEST_228
228,2025-09-03T21:43:29.221640,7 (148),right,1,6,left,left,3,4,1,6,2,4,,7,TEST_228
228,2025-09-03T21:12:00.221640,7 (148),full,2,5,neither,left,2,,,,,,5,,TEST_228
228,2025-09-03T21:20:14.221640,8 (174),left,0,3,right,left,5,6,4,,6,,,,TEST_228
228,2025-09-03T21:23:17.221640,8 (174),right,1,3,neither,right,7,,4,,,,,,TEST_228
228,2025-09-03T21:42:53.221640,8 (174),full,2,6,right,neither,4,2,1,,1,2,,2,TEST_228
228,2025-09-03T21:29:03.221640,9 (129),left,0,6,right,right,6,2,,,6,1,,,TEST_228
228,2025-09-03T21:24:06.221640,9 (129),right,1,4,left,right,6,5,,7,,,1,3,TEST_228
228,2025-09-03T21:37:21.221640,9 (129),full,2,3,neither,neither,7,,,,1,,5,,TEST_228
228,2025-09-03T21:37:05.221640,10 (120),left,0,7,right,right,2,3,6,1,3,2,,,TEST_228
228,2025-09-03T21:08:04.221640,10 (120),right,1,5,right,neither,7,1,3,,3,1,3,,TEST_228
228,2025-09-03T21:13:05.221640,10 (120),full,2,3,neither,left,5,,,,4,,,,TEST_228
228,2025-09-03T21:16:32.221640,11 (182),left,0,1,neither,neither,1,,,,,,,1,TEST_228
228,2025-09-03T21:23:00.221640,11 (182),right,1,4,left,neither,6,,,,3,,6,,TEST_228
228,2025-09-03T21:23:07.221640,11 (182),full,2,7,right,right,6,5,3,,,,7,,TEST_228
228,2025-09-03T21:18:55.221640,12 (167),left,0,6,left,right,2,6,7,5,4,,,5,TEST_228
